Ardoise;Ardoise carré (cube);Les Pans De Travassac France;17/08/2016;3.00 €;2cm 2x25g;;B4;19/08/2016 16:43
Géode;;;18/08/2016;4.50 €;4cm 38g;;B5;19/08/2016 16:43
Fluorine;Fluorine Jaune;Espagne;19/08/2016;14.00 €;6cm 57g;;B5;16/08/2016 10:50
Bois fossilisé;;Madagascar;15/08/2016;6.00 €;3.5cm 29g;;B4;16/08/2016 11:07
Malachite;Malachite et Limonite;Grèce;15/08/2016;7.00 €;7cm 79g;;B5;16/08/2016 11:07
Actinolite;;Tyrol (Autriche);15/08/2016;7.00 €;6.5cm 49g;;B4;16/08/2016 11:07
Ardoise;Ardoise brut ;Les Pans De Travassac France;17/08/2016;;9cm 90g;;B4;16/08/2016 11:31
Calcite;Calcite Bleue;;;;3cm 13g;;B1;29/08/2021 14:33
Agate;;;;;3.2cm 4g;;B1;29/08/2021 14:47
Pyrite;;;;;2.5cm 13g;;B1;29/08/2021 14:50
Amazonite;;;;;2.7cm 5g;;B1;29/08/2021 14:51
Carborandite;;;;;2cm 4g;;B1;29/08/2021 14:52
Onyx;;;;;2.6cm 7g;;B1;29/08/2021 14:52
Améthyste;;;;;2.5cm 4g;;B1;29/08/2021 14:53
Jaspe;;;;;2.5cm 4g;;B1;29/08/2021 14:54
Calcite;Calcite Orange;;;;2.5cm 5g;;B1;29/08/2021 14:54
Sodalite;;;;;2.5cm 5g;;B1;29/08/2021 14:59
Fuschite;;;;;2.3cm 2g;;B1;29/08/2021 15:10
Aventurine;;;;;2.3cm 4g;;B1;29/08/2021 15:10
Quartz;Quartz Rose;;;;2.5cm 10g;;B1;29/08/2021 15:11
Citrine;;;;;2cm 5g;;B1;29/08/2021 15:11
Quartz;Cristal;;;;1.5cm 3g;;B1;29/08/2021 15:12
Citrine;40e/kg;;27/08/2021;123.00 €;30cm 3080g;;NA;29/08/2021 15:26
Chalcopyrite;;;;;6.5cm 69g;;B3;30/08/2021 15:44
Améthyste;;France Auvergne;;;5cm 98g;;B3;30/08/2021 16:01
Topaze;;Brésil;;;0.7cm 0g;Photo en Zoom dans la loupe;B4;30/08/2021 21:21
Améthyste;;;;;3cm 18g;;B5;30/08/2021 21:35
Stibine;;Roumanie;;;7cm 92g;;B5;30/08/2021 21:38
Craie;;;;;5cm 10g;;B5;30/08/2021 21:44
Diamant;;Zaire;;;0.15cm 0g;;B4;30/08/2021 21:46
Or;feuilles en bouteille;;;;3.5cm 13g;;B4;30/08/2021 21:50
Améthyste;;Brésil;;;1.3cm 2g;;B4;30/08/2021 21:56
Géode;Géode de quartz;;;;6cm 65g;;B4;31/08/2021 14:45
Émeraude;Émeraude brut ;Brésil;;;0.7cm;;B4;31/08/2021 14:58
Rubis;;Brésil;;;1cm;;B4;31/08/2021 15:00
Saphire;;Thaïlande;;;0.7cm;;B4;31/08/2021 15:01
Quartz;;;;;3.5cm 19g;;B2;31/08/2021 15:07
Roche Volcanique;y'en a un sachet complet;;;;0.5-1.5cm 140g;;B4;31/08/2021 16:22
Roche Volcanique;;;;;9cm 290g;;B4;31/08/2021 16:23
Idk2;;;;;4cm 70g;;B9;31/08/2021 16:25
Pierre d'Alun;;;;;4cm 30g;;B4;31/08/2021 18:43
Agate;Agate Bleue;;;;4cm 39g;Minéraux du monde n°5;B5;17/06/2022 16:07
Spath;;Islande;;;3.5cm 18g;Minéraux du monde n°14;B5;17/06/2022 16:11
Lépidolite;;;;;4.5cm 28g;Minéraux du monde n°39;B5;17/06/2022 16:13
Geothite;;;12/06/2022;;6.3cm 163g;;B7;17/06/2022 16:17
Carbure de Silicium;Formule : SiC;artificiel;;;8cm 47g;;B7;17/06/2022 16:21
Émeraude;Formule : Al2Be3[Si6O18] (chiffres en minuscule);Brésil;;;3.2cm 36g;;B5;17/06/2022 16:27
Disthène/Cyanite bleue;70e/kg ;Brésil;12/07/2022;7.00 €;8.5cm 107g;;B8;17/07/2022 10:15
Epidote;Pampa Blanca, Castro Virreyna, Huancavelica;Perou;12/07/2022;30.00 €;4.5cm 18g;;B8;17/07/2022 10:16
Cérusite;;Maroc;12/07/2022;20.00 €;6.2cm 126g;;B4;17/07/2022 10:18
Wulférite;;Maroc;12/07/2022;50.00 €;4cm 27g;;B4;17/07/2022 10:19
Préhnite;;Maroc;12/07/2022;10.00 €;4.5cm 26g;;B8;17/07/2022 10:20
Purpurite;;Namibie;12/07/2022;10.00 €;4.5cm 21g;;B8;17/07/2022 10:20
Howlite;;Afrique Du Sud;12/07/2022;5.00 €;6cm 80g;;B8;17/07/2022 10:21
Trilobite;;Maroc;12/07/2022;20.00 €;6.5cm 79g;;B8;17/07/2022 10:22
Hemimorphite Bleue;;Congo;12/07/2022;20.00 €;4.5cm 21g;;B8;17/07/2022 10:23
Aragonite;Aragonite Spoutnik;Maroc;14/07/2022;5.00 €;7cm 126g;;B8;17/07/2022 10:24
Rostres de Belemnites;"3 photos/ 
info ";France (guillon 89);;1.00 €;4.5/7.5cm 17g;,;B8;17/07/2022 10:26
Géode;;;;;5cm 39g;;B8;20/07/2022 14:51
Fleur de Calcédoine;(2 photos, recto/verso) ;;;;4cm 13g;;B8;20/07/2022 14:58
Silex;;;;;3.5cm 21g;;B8;20/07/2022 15:05
Améthyste;;;;;8cm 218g;;B8;20/07/2022 15:08
Oeil de Tigre;;;;;3.5cm 27g;Minéraux du monde n°3;B8;20/07/2022 15:11
Fossile;(2 photos, recto/verso);;;;3.5g 17g;;B8;20/07/2022 15:16
Malachite;(2photos, recto/verso);;;;8cm 123g;;B7;20/07/2022 15:22
Rose des Sables;;;;;3cm 58g;;B8;20/07/2022 17:11
Scarabée;(2 photos, recto/verso) Amulette/pendentif;;;;1.5/2/2.8cm 15g;;B8;20/07/2022 17:15
Agate;Agate fine;;;;9cm 24g;;B4;20/07/2022 17:17
Onyx;;;;;7.5cm 126g;;B8;20/07/2022 17:21
Roche Volcanique;;Etna Italie;;;5.5cm 49g;;B7;20/07/2022 17:23
Bornite;;;;;6.5cm 170g;;B8;20/07/2022 17:32
